link,ids,title,description,status,keyword
https://www.youtube.com/watch?v=WLc_trZW_D4,WLc_trZW_D4,Climate Graph in Microsoft Excel 2010, ,public,"Education,Technology"
https://www.youtube.com/watch?v=Y2IcmLkuhG0,Y2IcmLkuhG0,The Cold War in Asia: Crash Course US History #38,"Crash Course World History is now available on DVD! Visit http://dft.ba/-CCWHDVD to buy a set for your home or classroom.

You can directly support Crash Course at https://www.patreon.com/crashcourse Subscribe for as little as $0 to keep up with everything we're doing. Free is nice, but if you can afford to pay a little every month, it really helps us to continue producing this content.

In which John Green teaches you about the Cold War as it unfolded in Asia. As John pointed out last week, the Cold War was occasionally hot, and a lot of that heat was generated in Asia. This is starting to sound weird with the hot/cold thing, so let's just say that the United States struggle against communist expansion escalated to full-blown, boots on the ground war in Korea and Vietnam. In both of these cases, the United States sent soldiers to intervene in civil wars that it looked like communists might win. That's a bit of a simplification, but John will explain it all to you.

Subbable Message! Patreon subscribers can choose a message in the video info as their perk. Here's this week's:
To Ellen, from Charles: I love you, you are the best. Arrr.

Follow us!
@thecrashcourse
@realjohngreen
@crashcoursestan
@raoulmeyer",public,"Cold War (Event),cold war,US History,APUSH,AP,test,crashcourse,crash course,USA,vietnam,korea,north korea,south korea,kim il sung,ho chi minh,north vietnam,south vietnam,communism,viet minh,viet cong,ARVN,war,battle,tet offensive,United States Of America (Country)"
https://www.youtube.com/watch?v=rcOFV4y5z8c,rcOFV4y5z8c,Nuclear Energy Explained: How does it work? 1/3,"Nuclear Energy Explained: How does it work?

Nuclear Energy is a controversial subject. The pro- and anti-nuclear lobbies fight furiously, and it's difficult to decide who is right. So we're trying to clear up the issue - in this video we discuss how we got to where we are today, as the basis for discussion. Next week we'll be looking at the arguments for and against nuclear power in detail.

To get a free audiobook and support our channel, go to audible.com/nutshell  - thanks! : )


PRO VIDEO:  https://www.youtube.com/watch?v=pVbLlnmxIbY

CONTRA VIDEO:  https://www.youtube.com/watch?v=HEYbgyL5n1g



Visit us on our Website, Twitter, Facebook, Patreon or Behance to say hi!

You can get the music from the videos here:

https://soundcloud.com/epicmountain/nuclear-1

https://epicmountainmusic.bandcamp.com/track/nuclear-1

http://www.epic-mountain.com


http://kurzgesagt.org
https://www.facebook.com/Kurzgesagt
https://twitter.com/Kurz_Gesagt
http://www.patreon.com/Kurzgesagt
http://www.behance.net/Kurzgesagt

Thanks a lot to our lovely Patrons!

Stephen Bassett, Raphael Hviding, Sam Elitzer, Andrzej Rejman, OpenGG, Andrew Jagasothy, jordan gardner, AgentK, Mehmet Sevil, Carly Tawse, K A I, Kevin Dam, Charlie, Christopher Lang, Nat Ryall, Jeff Le, Nicholas Holtz, Devir Islas, Arnas Valeika, Kirstie, Francesca Monteiro, James Craver, Broderick, Duncan Cheong, Derek, Juan Manuel Corredor, Osric Lord-Williams, Scott Zell, Jeroen Koerts, Patrick Eyrich, tekbit, Chris Linardos, Tony Morley, Jónatan Nilsson, Nat Thomas Golder, Zr4g0n, Cody, Michal, Caroline Andrewes, Alex Kaplan, Tom Alexander Kutil, Vincent, Okan, Sasha C, KokLiang Lim, Marcelo, Mikel De Uranga, Dean Herbert, Anton Efimenko, trefmanic, Adam Smith, David Garcia Quintas, Gaëtan Duvaux, Eduardo Barbosa, maarten ligtenberg, Ghitea Andrei Paul, Ozan, Ryan, Larry Bunyard, Josh Maleszewski, Volodymyr Khomenko, Sebastian Laiseca, Chase, Michael Slade, Scarlet Barton, Matthew Gill, Aaron, Alexander Heavens, Alexander Ahn, Arrngrim, Fluffy19, Adam Primaeros, Jan Schmid, Sara Shah,
Gard Fredrik Skuland, Veselin Kostadinov, Jonathan Velazquez Gore, Daniel, Philly Cashion, Seona Tea, Clayton Fussell, Daniel Gonzalez, Stephen Joseph DCruz, Morten, Dan Q, Thomas Lee, Finn Edwards, David Taylor, Corbin, Fabricio Godoy, Charles Kuang, Alan Feyaerts, Maximilian Ritter, Jesse MacLean, Matt Collins, Yousif, Jesse Powell, Dan Treasure, nga⁴, 冠瑋 陳, Wei Wong, Praveen Muthu, Jon Davis, Bahjat, Mike Mintz, Jem Arnold, Steffen Weng, Igor Benicio de Mesquita, Lars Vas Dias, Greeny Liu, Tibor Schiemann, dante harper, Bünyamin Tetik, Eli Fisker, Joe Pond, Jørgen Smalås, Gustavo, Tommi Mansikka, Dario Wünsch, Matthew Macomber, Daniel McCouid-Carr, Neelfyn, Muath, Edgar Duarte Ortega, Stephen Chen, Alipasha Sadri, Kevin P, Steven Ratner, Theo Alves Monteiro, Brucelow, José, Tony Montuori, Philipp Weber, Brad Wardell, David Davenport-Firth, Alexander Scheffer, Eric, Austin, Enrico, Hamad, Andrew Connor, Ignacio Flores, Tom Langford, Vaelohs, Peter Schuller, Bear, Brandy Alexander, Mark Govea, Alexander Kosenkov, Eric, Wesley Sheridan Montgomery, Artem Anchugov, Brandon Liu, Erven, varinder singh bal, Scott Laing, Philip Freeman, Gizem Gürkan, George Chearswat, Tim, Victor, Martin Fink-Jensen, Josh Allen, oscar gautama, Karl Snickars, Jennifer Hiller, Bruno Araújo, Maarten Bremer, Daniel OCL, Carlos Bohorquez, Elchus, RobPT, Hugo, Lethargicpanda, Amdrew, Minghan Ko, Mark Scheurwater, David Harbinson, Rikard Nyberg, Collin Banko, Florian Guitton, Jezariael Demos, Ajay Shekhar,  Nick Yonge, Jon Moroney, Eugene Cham, Renaud Savignard, James, Viktor Asklund, Ryan, somersault18:24, Ben Shackman, Pranab Shenoy, Terry Lipstein, Tim Carll, Javier de la Garza, Rory Bennett, Jan Berdel, Sieglinde Geisel, Jeff Churchill

Nuclear Energy Explained: How does it work?

Help us caption & translate this video!

http://amara.org/v/GUh1/",public,"nuclear energy,Energy,Physics (Field Of Study),Nuclear Power (Industry),nuclear,atom,Fukushima,Atomic,Weapons,Chernobyl Disaster (Disaster),three mile island,nuclear waste,radiation,death,clean energy,disaster,accident,facts,future,fission,fusion,good,bad,generating,discovery,documentary,cons,pros,uses,animation,explosion,benefits,physics,dummies,john oliver,presentation,thorium,101,cancer,flat design,funny,infographic,kurzgesagt,in a nutshell"
https://www.youtube.com/watch?v=DfGs2Y5WJ14&spfreload=10%20Message%3A%20JSON%20Parse%20error%3A%20Unexpected%20EOF%20(url%3A%20h,DfGs2Y5WJ14,Charlie Chaplin - Factory Work,"The Factory Scene From Chaplin's Last Silent Film ""Modern Times"".

I Do Not Own Copyright To This Video, This Is Only Made To Enjoy The Genius Of Charlie Chaplin",public,"modern,times,factory,chaplin"
https://www.youtube.com/watch?v=wMZ8xfHPNu8,wMZ8xfHPNu8,What is Eutrophication? - ChemistNATE Live,"Eutrophication is an excess of nutrients in a body of water.  It causes an overgrowth of algae, which causes a chain reaction of events that destroys the lake ecosystem.  This is my first attempt at a live-action video, instead of just me writing on paper.  Leave feedback!  Shot in L'Amoreaux Park, Scarborough, Ontario.",public,"Eutrophication,hypoxia,anoxia,effects,algae,cyanobacteria,phytoplankon,primary production,plants,photosynthesis,ChemistNATElive,chemistNATE,biology"
https://www.youtube.com/watch?v=PWp2uy4QxW0,PWp2uy4QxW0,Butterfly technique.mov,"Zoggs Butterfly Technique video aims to help with the rhythm and positioning of the body during this stroke. The more rhythmic you are in the stroke, the easier it becomes... Take a look!",public,"Swimming,Swim,butterfly,technique,learn to swim,Zoggs,pool"
https://www.youtube.com/watch?v=wOIHzl2h9a8,wOIHzl2h9a8,Exploding Cucumbers! - Slo Mo #36 - Earth Unplugged,"Plants are awesome too! We have filmed a lot of animals on Slo Mo for Earth Unplugged, so we thought it was about time that some plants got a look in, and  we were pretty blown away with the results!

Sam and Si look at Himalayan balsam and the squirting cucumber, revealing in super slow motion hot these two incredible plants spread their seeds using high pressure mechanisms.

Subscribe to Earth Unplugged - http://www.youtube.com/subscription_center?add_user=earthunpluggedtv

Join the Earth Unplugged community:
Facebook: http://www.facebook.com/EarthUnplugged 
Twitter: http://www.twitter.com/earthunplugged
Google+: http://goo.gl/RKq6q 

http://www.youtube.com/user/EarthUnpluggedTV
http://www.youtube.com/subscription_center?add_user=earthunpluggedtv

This is a channel from BBC Worldwide who help fund new BBC programmes.",public,"Seeds,seed dispersal,himalayan balsam,dandelion,squirting cucumber,mechanics,high pressure,slow motion,super slow motion,motion,Earth Unplugged,BBC,Sam Hume,Simon Lewis,Sam,Si,earth unplugged,slo mo,slow mo guys"
https://www.youtube.com/watch?v=nwAYpLVyeFU,nwAYpLVyeFU,"Life Vest Inside - Kindness Boomerang - ""One Day""","Watch as the camera tracks an act of kindness as its passed from one individual to the next and manages to boomerang back to the person who set it into motion. 

Has Life Vest Inside's Kindness Boomerang inspired you? Take our Impact Survey and help us measure the impact of kindness on the world! Plus, get entered to win free LVI goodies just for completing the survey! Visit http://www.lifevestinside.com/survey

Like us on Facebook: http://www.facebook.com/lifevestinside
Follow us on Twitter: http://www.twitter.com/lifevestinside
Follow us on Instagram: http://www.instagram.com/lifevestinside
Follow us on Linkedin: https://www.linkedin.com/company/5018566?trk=hp-feed-company-name
Connect with our founder: https://www.facebook.com/orlyfwahba

Learn more about Life Vest Inside by visiting our site! http://www.lifevestinside.com

Life Vest Inside is a 501(c)3 non-profit organization. All donations are 100% tax-deductible
https://donatenow.networkforgood.org/lifevestinside


Email: info@lifevestinside.com for more info!

** PLEASE NOTE ** This film and story are Copyright Protected, therefore any re-upload or public display is prohibited without express written consent of the owner. BUT, Links are ALWAYS welcome!",public,"acts of kindness,random acts of kindness,kindness,boomerang,compassion,peace,humanity,kindness boomerang,life vest inside,education,happiness,hope,lifevestinside,one day,matisyahu,one day matisyahu,matisyahu one day"
https://www.youtube.com/watch?v=hLGa5mitTq4,hLGa5mitTq4,Chinese Pinyin-Lesson 1 （Mandarin）,"Pinyin is essential for anyone learning to speak Mandarin Chinese.  It is a pronunciation guide based on the English alphabet.  In the first lesson on Pinyin, you will learn the basics of the Pinyin system, including the parts of each Pinyin syllable such as the initial, final, and the tone.  As tones are one of the most challenging parts of learning to speak Chinese, we present them here so that you can practice them from the very beginning.",public,"basics of the Pinyin system,Pinyin syllable,initial,final,tone,beginner"
https://www.youtube.com/watch?v=IaZ8MtF3C6M,IaZ8MtF3C6M,Osmosis: A Solute and Solvent Love Story,"Learn osmosis with real life examples! The terms hypertonic, hypotonic, and isotonic are explored throughout this clip. Check out our FREE video handouts on www.amoebasisters.com!

ATTENTION TEACHERS: We have a handout available that corresponds to this video! Click here to visit our site: www.amoebasisters.weebly.com/handouts.html

We always welcome comments, but we do have our comments on _approval_ only. Criticism is fine, but this is an education channel. No bad language or discriminatory comments allowed. In other words, don't put anything here you wouldn't tell grandma.

We Want to Connect with You!

Follow us on Twitter:
www.twitter.com/AmoebaSisters

Be our friend on Facebook:
www.facebook.com/AmoebaSisters

Pin with us on Pinterest:
www.pinterest.com/AmoebaSister­s

Contact us at our website:
www.AmoebaSisters.weebly.com",public,"Solute,solvents,semipermeable membrane,cell membrane,water,water molecules,salt,saltwater fish,slugs,plants,osmosis,process of osmosis,how osmosis works,how water moves,movement of water,isotonic,hypertonic,hypotonic,solutes,difference between hypertonic and hypotonic,concentration,explain osmosis,kids,children,students,teacher,classroom,school,biology,Solvent,AP Biology,AP Biology Osmosis Lab,AP Biology Diffusion lab,AP Bio lab 1,selectively permeable"
http://www.youtube.com/watch?v=wrAYPNSOlsU,wrAYPNSOlsU,TRX Workout with Inventor Randy Hetrick,"Former Navy Seal Randy Hetrick, CEO and inventor of TRX, explains the genesis of the TRX and leads a fast and effective workout that will get the heart pounding, burn a ton of calories, and increase both strength and flexibility. These fun and innovative exercises can be done anytime, anywhere, as part of a longer workout, or on its own as a quick metabolic blast.",public,"TRX,Suspension Training,ace fitness,American Council On Exercise (Nonprofit Organization),fitness,workout,personal training"
https://www.youtube.com/watch?v=pyy_lup0F4c,pyy_lup0F4c,Under Water Candle - Cool Science Experiment | Mocomi Kids,"http://mocomi.com/ presents: Under Water Candle - How can we show the presence of atmospheric pressure?

REQUIREMENTS :-
Water
A Glass cup
Coloured ink
A saucer
A candle
A kitchen lighter

WHAT TO DO :-
Pour some water into the saucer and then add a few drops of colour to it and mix well. Now light up the candle and place it in the middle of the saucer and then cover it up with the cup.

WHAT HAPPENS :-
With the flame still burning inside the cup, some of the water starts collecting inside the glass, absorbing it from the outside, and when the flame goes off there is a much bigger gush of water into the glass.

WHY THIS HAPPENS :-
The flame uses up the oxygen in the cup creates a low pressure. Atmospheric pressure then tries to force its way in. Because the water at the base of the cup has created an air tight seal, the pressure difference between the inside and outside of the cup causes the water to raise until pressure (inside the cup) is equal to the pressure outside.

If you want to know more about Under Water Candle, please visit: http://mocomi.com/candle-under-water/  

For more cool science experiments visit: http://mocomi.com/learn/science/experiments/ 

For other science videos and articles visit: http://mocomi.com/learn/science/ 

Follow Mocomi Kids,

on Facebook https://www.facebook.com/mocomikids/
on Twitter https://twitter.com/MocomiKids
on Pinterest https://www.pinterest.com/mocomikids/
on Google+ https://plus.google.com/+mocomikids/
on LinkedIn https://www.linkedin.com/company/mocomi-kids",public,"Under Water Candle,Cool Science Experiment,candle under water,candle under water experiment,candle and water experiment,water and candle experiment,candle water experiment,experiments with water,experiments with candles,kids science experiment,atmospheric pressure,atmosphere pressure experiment,air pressure experiments,mocomi,mocomikids"
http://youtu.be/NJHyXa9Sv2M,NJHyXa9Sv2M,Learn Different Weather in Mandarin Chinese- Learn Chinese with Emma!,Learn Different Weather in Mandarin Chinese- Learn Chinese with Emma! Enjoy!,public,"Mandarin Chinese,Weather in Chinese,Sunny day in Chinese,Weather,Chinese,Learn Chinese,Chinese Language (Human Language),Chinese As A Foreign Language,Language (Philosophical Subject),China"
https://www.youtube.com/watch?v=jjXyqcx-mYY,jjXyqcx-mYY,Yes We Can - Barack Obama Music Video,"Congratulations, Mr. President.



-Lyrics-

It was a creed written into the founding documents that declared the destiny of a nation.

Yes we can.

It was whispered by slaves and abolitionists as they blazed a trail toward freedom.

Yes we can.

It was sung by immigrants as they struck out from distant shores and pioneers who pushed westward against an unforgiving wilderness.

Yes we can.

It was the call of workers who organized; women who reached for the ballots; a President who chose the moon as our new frontier; and a King who took us to the mountaintop and pointed the way to the Promised Land.

Yes we can to justice and equality.

Yes we can to opportunity and prosperity.

Yes we can heal this nation.

Yes we can repair this world.

Yes we can.

We know the battle ahead will be long, but always remember that no matter what obstacles stand in our way, nothing can stand in the way of the power of millions of voices calling for change.

We have been told we cannot do this by a chorus of cynics...they will only grow louder and more dissonant ........... We've been asked to pause for a reality check. We've been warned against offering the people of this nation false hope.

But in the unlikely story that is America, there has never been anything false about hope.

Now the hopes of the little girl who goes to a crumbling school in Dillon are the same as the dreams of the boy who learns on the streets of LA; we will remember that there is something happening in America; that we are not as divided as our politics suggests; that we are one people; we are one nation; and together, we will begin the next great chapter in the American story with three words that will ring from coast to coast; from sea to shining sea --

Yes. We. Can.

Guest appearances -

will.i.am - 0:01 
Scarlett Johansson - 0:05 
Kareem Abdul-Jabbar - 0:21 
Common - 0:23 
John Legend - 0:32 
Bryan Greenberg (guitar) - 0:37 
Kate Walsh - 0:44 
Tatyana Ali - 0:44 
Harold Perrineau, Jr. - 0:49 
Aisha Tyler - 1:01 
Samuel Page - 1:03 
Enrique Murciano - 1:07 ""Si, podemos"" - 1:17 
Maya Rubin - 1:08 ""כן אנו יכולים (Qen Annu Yecholim)"" (Hebrew) 
Esthero - 1:10 
Eric Balfour - 1:23 
Nicole Scherzinger - 1:30 
Taryn Manning - 1:40 
Amber Valletta - 1:52 
Auden McCaw (in Valetta's arms) - 1:52 
Kelly Hu - 1:52 
 Adam Rodríguez - 1:56 ""Sí se puede"" 
Eric Christian Olsen - 2:02 
Sarah Wright - 2:02 
Shoshannah Stern (American Sign Language) - 2:05 
Ed Kowalczyk (guitar) - 2:19 
Fonzworth Bentley (violin) - 2:38 
Amaury Nolasco - 3:24 
Hill Harper - 3:27 
Nick Cannon - 3:36 
Herbie Hancock (piano) - 3:41 
Johnathon Schaech - 3:45 
Austin Nichols - 3:50 
Tracee Ellis Ross - 4:00 
Fred Goldring (guitar) - 4:03 
Anson Mount 
Alfonso Ribeiro 
Cliff Collins 
Vera Farmiga",public,"Barack,Obama,will.i.am,election,democrats,president,speech,primary,caucus,vote"
https://www.youtube.com/watch?v=fPnwBITSmgU,fPnwBITSmgU,The genius of Mendeleev's periodic table - Lou Serico,"View full lesson: http://ed.ted.com/lessons/the-genius-of-mendeleev-s-periodic-table-lou-serico

The elements had been listed and carefully arranged before Dmitri Mendeleev. They had even been organized by similar properties before. So why is Mendeelev's periodic table the one that has endured? Lou Serico explains via eka-aluminum, an element whose existence Mendeelev predicted years before it was discovered.

Lesson by Lou Serico, animation by TED-Ed.",public,"TEDEducation TED-Ed \TED Ed\,\periodic,table\,\Dmitri,Mendeleev\,Mendeleev,chemistry,elements,table,of,elements\,\Lou,Serico\,\Biljana,Labovic\,\Celeste,Lai\,\Nick,Sumida\,\Franz,Palomares\,Ekaaluminium,Gallium"
https://www.youtube.com/watch?v=_201ttTSG30,_201ttTSG30,What Is A Solar Eclipse?,"Science expert Emerald Robinson explains what a solar eclipse is.To view over
15,000 other how-to, DIY, and advice videos on any topic, visit
http://www.monkeysee.com/",public,"sun,solar eclipse,earth,moon,space,universe,astronomy,solar system,eclipse"
https://youtu.be/uAnZgt9Yz9w,uAnZgt9Yz9w,Ultra short interval training,4 rounds of 4 x 15 on the 20 with an extra 40 in between rounds,public,
https://www.youtube.com/watch?v=TL4hShV8_gM#action=share,TL4hShV8_gM,The need for ROM - Part A,,unlisted,
https://www.youtube.com/watch?v=7Z8EtlBe8Ts,7Z8EtlBe8Ts,Super Fast Cameras,"A new high speed camera can capture light in motion and see around corners.

NOVA Facebook: https://www.facebook.com/NOVAonline
NOVA Twitter: https://www.twitter.com/novapbs

PRODUCTION CREDITS

Director: Vincent Liota

Associate Producer: Karinna Sjo-Gaber

Camera: Thomas Danielczik

Sound: Fred Burnham

Animation: Smash5, Vincent Liota

Additional Editing: Anna Rothschild

Original Footage
© WGBH Educational Foundation 2013

For more on Femto-Photography and a list of scientific collaborators, please visit the following links.
http://dl.acm.org/citation.cfm?id=2461928 
http://dl.acm.org/citation.cfm?id=2461928 
http://web.media.mit.edu/~raskar/cornar/ 
http://web.media.mit.edu/~raskar/trillionfps/

MEDIA CREDITS

(Femto-Photography Demonstrations)
A. Velten, et al., 2013.

(How to Make Applesauce at MIT)
Courtesy MIT Museum

(man holds bright flash bulb in hand, slow motion)
© iStock/morganl

(photo of the camera and a scene)
© Andreas Velten

(concept artwork demonstrating uses of the technology)
© Tiago Allen

IMAGE

(main image: light in bottle)
© WGBH Educational Foundation 2013",public,"science,PBS,NOVA,camera,light,high-speed,fast,Femto-Photography,MIT"
